Disease,Prevalence,Accuracy,Precision,Recall,F1 Score,AUROC,AUPRC,Brier Score,ECE,MCE,Log Loss
No Finding,0.16785430908203125,0.8321456848772764,0.0,0.0,0.0,0.8324959158393623,0.46134537772708456,0.14201126992702484,0.11606372546106695,0.6166788339614868,0.45945886452388446
Enlarged Cardiomediastinum,0.10419635474681854,0.8958036421219319,0.0,0.0,0.0,0.5577414914303123,0.12489680035001553,0.09531379491090775,0.04661394624557178,0.05510193109512329,0.3533011409371427
Cardiomegaly,0.1570862978696823,0.855581947743468,0.8125,0.10483870967741936,0.18571428571428572,0.7945746130607892,0.491901992740405,0.11309345066547394,0.07653389918903272,0.2859395742416382,0.40845246371759375
Lung Opacity,0.33143308758735657,0.7037212984956452,0.5759233926128591,0.4022933588150979,0.4736990154711674,0.7253671811680585,0.530755593909464,0.20262710750102997,0.08653029523854774,0.30727773904800415,0.6213217130221386
Lung Lesion,0.08012668043375015,0.9198733174980206,0.0,0.0,0.0,0.6341042963862128,0.1421982287696993,0.07333915680646896,0.027260913508144143,0.08724787831306458,0.276277880907652
Edema,0.120823435485363,0.8962787015043547,0.7432432432432432,0.2162516382699869,0.3350253807106599,0.8546597214091198,0.5280716048197176,0.07990684360265732,0.035925781694981944,0.12845498323440552,0.27921255091042524
Consolidation,0.13792558014392853,0.8614410134600158,0.4090909090909091,0.010332950631458095,0.020156774916013438,0.7535860374834132,0.27654351312825015,0.10897012054920197,0.026535654630473655,0.16645273566246033,0.35834767058788586
Pneumonia,0.12050673365592957,0.8734758511480601,0.4,0.09986859395532194,0.1598317560462671,0.7396930010310904,0.280135114943025,0.09861645102500916,0.035518063962317985,0.7232123017311096,0.34599205575093583
Atelectasis,0.2310372143983841,0.7653206650831353,0.4865497076023392,0.2851267991775189,0.3595505617977528,0.7410549952405848,0.43231719446735395,0.15993180871009827,0.061273197460438834,0.08890125155448914,0.5005188064987859
Pneumothorax,0.05114806070923805,0.9491686460807601,0.6666666666666666,0.01238390092879257,0.0243161094224924,0.82028618136876,0.2707455041943398,0.044737618416547775,0.02552658423887579,0.15586358308792114,0.17275227660999481
Pleural Effusion,0.3293744921684265,0.83673792557403,0.8541525995948683,0.6081730769230769,0.7104745857905083,0.9034390609390611,0.8300708893520895,0.12311820685863495,0.09104234793430646,0.1997133493423462,0.41416914042546304
Pleural Other,0.059857483953237534,0.9401425178147268,0.0,0.0,0.0,0.6902464858082172,0.16260966459025378,0.05481332913041115,0.016767664686116734,0.16335508227348328,0.21777323563768572
Fracture,0.04845605790615082,0.9515439429928741,0.0,0.0,0.0,0.5680808852081355,0.07769423094343023,0.046606291085481644,0.012352647761551048,0.05632784217596054,0.1974347548737467
