Disease,Prevalence,Accuracy,Precision,Recall,F1 Score,AUROC,AUPRC,Brier Score,ECE,MCE,Log Loss
No Finding,0.08759446442127228,0.9124055380881461,0.0,0.0,0.0,0.8310952808356368,0.32126959288659274,0.07356748729944229,0.04654187794237009,0.22164100408554077,0.2587923343726661
Enlarged Cardiomediastinum,0.10050195455551147,0.8995256219317116,0.6666666666666666,0.0005488474204171241,0.0010967918837400603,0.5943254428929762,0.15425697147985568,0.09033213555812836,0.029993306381434864,0.11949646472930908,0.33393801262381145
Cardiomegaly,0.1530972421169281,0.8667604390755144,0.6778656126482213,0.2471626733921816,0.36224422442244225,0.8193995188993393,0.5152238838304933,0.10028015822172165,0.032708160256794024,0.061473339796066284,0.3412643586512756
Lung Opacity,0.4817143678665161,0.6684317943626235,0.6345393436140767,0.7350280545058971,0.6810971404318531,0.7315046670739044,0.67885012128475,0.21313723921775818,0.0574164296970387,0.1474175900220871,0.6307315007313956
Lung Lesion,0.042859505861997604,0.9563130895250703,0.44565217391304346,0.07915057915057915,0.13442622950819672,0.7350925781294038,0.1829791684078579,0.039286721497774124,0.01733196422028636,0.27460405230522156,0.16221285961393175
Edema,0.31488221883773804,0.7681339290639307,0.6270042194092827,0.6507839187177017,0.6386727983839773,0.8283810867017004,0.6794485422177996,0.15578073263168335,0.04896572066510126,0.0971638560295105,0.47702012650465875
Consolidation,0.18881350755691528,0.8051740305587732,0.40809443507588533,0.07069821793748174,0.1205179282868526,0.6979526616314092,0.3177020813502371,0.14711523056030273,0.05874748317727915,0.38264307379722595,0.4601605518962466
Pneumonia,0.10924485325813293,0.8857907220475482,0.4357142857142857,0.15400151476899773,0.22756948330535348,0.7405348570833954,0.28859942920529685,0.09298262000083923,0.050951827502004415,0.34504204988479614,0.32294801976398885
Atelectasis,0.32373544573783875,0.6614540239395443,0.48001191096553264,0.5493269722269551,0.5123356243295857,0.6936999401978543,0.4900395437736915,0.2082134336233139,0.09499286602586846,0.16056311130523682,0.6132787042039006
Pneumothorax,0.09305532276630402,0.9089028628164819,0.516143701682583,0.3363959691760522,0.40732101202225013,0.834967202886012,0.41368025872077013,0.07056090235710144,0.03024788146133825,0.191087007522583,0.24611406614856596
Pleural Effusion,0.44472944736480713,0.793838601136301,0.8001387925052047,0.7150387596899225,0.7551989520222695,0.8746688244106922,0.8421265421645832,0.14571598172187805,0.05246480611067207,0.08540916442871094,0.46199732894811907
Pleural Other,0.023691322654485703,0.9753985327376027,0.39751552795031053,0.07450523864959255,0.12549019607843137,0.8302836110055002,0.17995000764205113,0.021992620080709457,0.013526520288233786,0.2988432049751282,0.09448780602891764
Fracture,0.04010149464011192,0.9601191461194771,0.5454545454545454,0.033012379642365884,0.0622568093385214,0.7295454367606563,0.16896662247735203,0.03612690046429634,0.003122465525654083,0.949591875076294,0.15218687873839631
