Disease,Prevalence,Accuracy,Precision,Recall,F1 Score,AUROC,AUPRC,Brier Score,ECE,MCE,Log Loss
No Finding,0.16785430908203125,0.8321456848772764,0.0,0.0,0.0,0.8177711254331005,0.4585962891206438,0.1525886058807373,0.14181598597637546,0.48645588755607605,0.5578358698334396
Enlarged Cardiomediastinum,0.10419635474681854,0.8958036421219319,0.0,0.0,0.0,0.5782551192728378,0.13971889514522012,0.09333214163780212,0.026604462618499355,0.0341513454914093,0.3379531943369961
Cardiomegaly,0.1570862978696823,0.869833729216152,0.6816239316239316,0.3215725806451613,0.436986301369863,0.8403642819050621,0.5551539488091882,0.09738998860120773,0.022617730257040152,0.07637400925159454,0.3255651233426212
Lung Opacity,0.33143308758735657,0.6978622327790974,0.5678650036683786,0.36980410893454374,0.4479166666666667,0.7199664895481838,0.5324406336062697,0.19740843772888184,0.05510804256747284,0.10566778481006622,0.5904473618135236
Lung Lesion,0.08012668043375015,0.9195566112430721,0.4375,0.01383399209486166,0.02681992337164751,0.6824730876240154,0.18234474595756675,0.07252132147550583,0.034219100958094745,0.35785651206970215,0.2689460876076403
Edema,0.120823435485363,0.8939034045922407,0.6142506142506142,0.32765399737876805,0.42735042735042733,0.8689697972888757,0.5138194893192156,0.07800387591123581,0.008029993960924405,0.10927325487136841,0.25977065762158
Consolidation,0.13792558014392853,0.8623911322248614,1.0,0.002296211251435132,0.004581901489117984,0.7585802125977807,0.3067460325554109,0.10702333599328995,0.014660727774823175,0.48348474502563477,0.35080400134979506
Pneumonia,0.12050673365592957,0.8787015043547111,0.42857142857142855,0.01971090670170828,0.03768844221105527,0.7342271341889001,0.2789774446682332,0.09810018539428711,0.02219736153408826,0.3623496890068054,0.33190910179754074
Atelectasis,0.2310372143983841,0.7737133808392715,0.5323275862068966,0.16929403701165183,0.25689027561102445,0.7464245810528978,0.4361079298799357,0.15693031251430511,0.047929964106609595,0.31110450625419617,0.486619599052091
Pneumothorax,0.05114806070923805,0.9467933491686461,0.45517241379310347,0.2043343653250774,0.28205128205128205,0.8417704514171629,0.2926314492902596,0.046037886291742325,0.041525464952699924,0.24592134356498718,0.17237853357349303
Pleural Effusion,0.3293744921684265,0.8424386381631037,0.8042624789680314,0.6894230769230769,0.7424281646388817,0.8981004790663882,0.8320393637159724,0.1142640933394432,0.030242031003309446,0.09448909759521484,0.374421125091381
Pleural Other,0.059857483953237534,0.9406175771971497,0.5384615384615384,0.05555555555555555,0.10071942446043165,0.7170586573483659,0.18958564621894444,0.05687784403562546,0.04327746900661257,0.22259406745433807,0.2204040092625676
Fracture,0.04845605790615082,0.9515439429928741,0.0,0.0,0.0,0.5552232653198851,0.08367727221941557,0.04635007679462433,0.011070903090381093,0.1266227662563324,0.1969405234538501
