Disease,Prevalence,Accuracy,Precision,Recall,F1 Score,AUROC,AUPRC,Brier Score,ECE,MCE,Log Loss
No Finding,0.08759446442127228,0.912488278448894,0.6666666666666666,0.001889168765743073,0.0037676609105180532,0.8565164749008533,0.39734654426727145,0.06708003580570221,0.026969188146288642,0.24135026335716248,0.22932503081854433
Enlarged Cardiomediastinum,0.10050195455551147,0.8995256219317116,1.0,0.00027442371020856203,0.0005486968449931413,0.6062121403151132,0.1640403367995177,0.08927515149116516,0.0192703640959605,0.4743010401725769,0.32838626180503444
Cardiomegaly,0.1530972421169281,0.8691599095372056,0.6442617089739006,0.3246261934786525,0.4317201724964063,0.8263684173606459,0.528870990331948,0.0978480726480484,0.013083462969107324,0.04705810546875,0.3280241854935638
Lung Opacity,0.4817143678665161,0.6742787798554801,0.6361054961979016,0.7567273560059544,0.6911933898127811,0.735531779019965,0.6844702614582155,0.21162916719913483,0.05682511682210595,0.1432522088289261,0.6290827583485173
Lung Lesion,0.042859505861997604,0.9550444039936015,0.4005235602094241,0.09845559845559845,0.15805785123966942,0.7369797646638933,0.1870248052676755,0.04083540290594101,0.03264540115418506,0.3042930066585541,0.1685785356549373
Edema,0.31488221883773804,0.7746979976832699,0.6765985210961287,0.5449767889988614,0.603696696259642,0.8262643149327858,0.6742321765599169,0.15553076565265656,0.0411316576092273,0.07646693289279938,0.4836090043567977
Consolidation,0.18881350755691528,0.8066909371724861,0.40423031727379555,0.050248320186970494,0.0893854748603352,0.7025817449609979,0.3170094127047931,0.14530061185359955,0.051708029203611706,0.27795273065567017,0.45439460078635185
Pneumonia,0.10924485325813293,0.8889348557559711,0.46706586826347307,0.11815198182277203,0.18859560749546644,0.741912146853189,0.29368677433346185,0.08921904116868973,0.02364998300745734,0.40908360481262207,0.3125804744910973
Atelectasis,0.32373544573783875,0.6777814551271444,0.5024862128198174,0.4735048560231726,0.48756524408965307,0.6964157556903764,0.4977933180981706,0.2022610455751419,0.07114022521701675,0.22245502471923828,0.5996517612814574
Pneumothorax,0.09305532276630402,0.8961332671410447,0.43824826717076243,0.41227030231179607,0.42486255345143553,0.8367565980886487,0.4157491306323074,0.07827632129192352,0.0696267279477231,0.27578213810920715,0.2671836679167948
Pleural Effusion,0.44472944736480713,0.7942247228197915,0.764049737900768,0.7773643410852713,0.7706495342903692,0.8721121441637913,0.8366022906583908,0.14382410049438477,0.016214307140538613,0.031975001096725464,0.45071109672411946
Pleural Other,0.023691322654485703,0.9749572508136135,0.3768844221105528,0.08731082654249127,0.14177693761814744,0.8384066905857952,0.1720453007075934,0.022447194904088974,0.016580169455574823,0.4692997336387634,0.09570374715319144
Fracture,0.04010149464011192,0.9600364057587291,0.5490196078431373,0.01925722145804677,0.037209302325581395,0.7598143334249712,0.18032789719725492,0.0358923077583313,0.009408490330275108,0.18044129014015198,0.14922504487416272
