Disease,Prevalence,Accuracy,Precision,Recall,F1 Score,AUROC,AUPRC,Brier Score,ECE,MCE,Log Loss
No Finding,0.16785430908203125,0.8321456848772764,0.0,0.0,0.0,0.8638461124176435,0.5222666131055176,0.1368018537759781,0.12594143969146201,0.4186954200267792,0.4553687825686893
Enlarged Cardiomediastinum,0.03752969205379486,0.9624703087885986,0.0,0.0,0.0,0.6436688728665186,0.06918456781409557,0.03666830435395241,0.01211997227078143,0.15490680932998657,0.16009572731496066
Cardiomegaly,0.1399841606616974,0.8859857482185273,0.6729957805907173,0.3608597285067873,0.4698085419734904,0.8901985917945497,0.6013100102824079,0.08270785957574844,0.03347700126764091,0.10350562632083893,0.27348729332160626
Lung Opacity,0.3285827338695526,0.7046714172604909,0.6039603960396039,0.29397590361445786,0.39546191247974066,0.7337978517844965,0.5372520734676403,0.20158076286315918,0.10318216010397233,0.8234096765518188,0.6209199430399642
Lung Lesion,0.0692003145813942,0.9312747426761678,0.7142857142857143,0.011441647597254004,0.02252252252252252,0.7147549369599866,0.2089600501954186,0.060326654464006424,0.012602659026404174,0.38816559314727783,0.23035991332930097
Edema,0.08566904067993164,0.9155977830562153,0.5080645161290323,0.4658040665434381,0.48601735776277727,0.8929047735818735,0.5056850431401032,0.05998281016945839,0.026372377447317914,0.252651572227478,0.2022186951656047
Consolidation,0.04433887451887131,0.9553444180522566,0.48,0.08571428571428572,0.14545454545454545,0.8255255059770387,0.21808923831424223,0.04156508669257164,0.028016348821439163,0.1950797289609909,0.15764453503993192
Pneumonia,0.036104511469602585,0.963895486935867,0.5,0.20614035087719298,0.2919254658385093,0.8316688715381356,0.29741944107812707,0.031871624290943146,0.027239629488234853,0.9219456315040588,0.1301805244775431
Atelectasis,0.10815518349409103,0.8918448139350752,0.5,0.01171303074670571,0.022889842632331903,0.7351929832041129,0.2439381816723024,0.09061701595783234,0.028333776561589065,0.3790799379348755,0.31689069263809616
Pneumothorax,0.044813934713602066,0.9537608867775138,0.47019867549668876,0.2508833922261484,0.3271889400921659,0.8866563252757966,0.35703477858388694,0.03580562770366669,0.012881307431326344,0.22765788435935974,0.13209898675741014
Pleural Effusion,0.293111652135849,0.8639746634996042,0.8224967490247074,0.6834143706104808,0.7465329005606374,0.9202432110706409,0.8423300916992149,0.10022097080945969,0.04345872126230624,0.11040911078453064,0.33565026241920065
Pleural Other,0.035629455000162125,0.9654790182106097,0.5853658536585366,0.10666666666666667,0.18045112781954886,0.755951833607006,0.22955767291317547,0.03137236088514328,0.013079484325619038,0.238020122051239,0.13505145417082315
Fracture,0.045288994908332825,0.9547110055423594,0.0,0.0,0.0,0.6326421132359099,0.1049948987837181,0.042672399431467056,0.009769994577928279,0.04231934994459152,0.18003949162162375
