Disease,Prevalence,Accuracy,Precision,Recall,F1 Score,AUROC,AUPRC,Brier Score,ECE,MCE,Log Loss
No Finding,0.08759446442127228,0.9124055380881461,0.0,0.0,0.0,0.870913130215934,0.4373209691354053,0.07249213010072708,0.05470670966249744,0.45904600620269775,0.2516552043192921
Enlarged Cardiomediastinum,0.03502675145864487,0.9646974460808649,0.38095238095238093,0.012598425196850394,0.024390243902439025,0.7137033484596293,0.10901489335154387,0.03398001939058304,0.020853463945735357,0.2561199963092804,0.14660840150012036
Cardiomegaly,0.13613547384738922,0.8842738154338353,0.6246630727762803,0.37560777957860614,0.4691295546558704,0.8649766497147783,0.5416874609360391,0.08458080887794495,0.01003618813527979,0.06675589084625244,0.280533588353598
Lung Opacity,0.48055601119995117,0.6505047162005626,0.6817347407067462,0.5115358126721763,0.5844973440881369,0.7304995002858574,0.6780748971275221,0.2288479059934616,0.12681528800465872,0.22916516661643982,0.6845610473723106
Lung Lesion,0.036295440047979355,0.9631805394671521,0.46984126984126984,0.11246200607902736,0.18148375229920294,0.7764599247315439,0.20146423877233066,0.033537279814481735,0.019660682874817044,0.31995904445648193,0.13923193863146574
Edema,0.25613656640052795,0.7886811186496773,0.6035163715122945,0.5100678367610638,0.5528711484593838,0.8201617630639152,0.5968743375421683,0.14427988231182098,0.037026109250849155,0.09950751066207886,0.4445290360280381
Consolidation,0.0643720030784607,0.9305256770919521,0.36574746008708275,0.10796915167095116,0.1667217995368839,0.7562713649857179,0.20235811737046613,0.0628817081451416,0.05386732580134377,0.23614314198493958,0.23235984242247557
Pneumonia,0.020574769005179405,0.9611120304484527,0.19818181818181818,0.29222520107238603,0.2361863488624052,0.8515188122037968,0.16541511073579876,0.030951164662837982,0.05542242397047228,0.5237423181533813,0.12042906073947303
Atelectasis,0.1638534963130951,0.8357052236747752,0.4452054794520548,0.010940919037199124,0.021356990307212092,0.6681555859809728,0.271106540572986,0.1317392736673355,0.03351127621842842,0.10525348782539368,0.4309363681609906
Pneumothorax,0.08174747973680496,0.9250096530420873,0.6793557833089312,0.15654520917678813,0.254455717027694,0.8577009687220395,0.43068380427349157,0.05893552675843239,0.016066626275797774,0.07988685369491577,0.20947132172621213
Pleural Effusion,0.41116443276405334,0.7962104914777428,0.7829883327060595,0.6977461765495037,0.7379136665129642,0.8775320686628181,0.8271129408901425,0.1433153599500656,0.05333049522592719,0.11100086569786072,0.4556601231140986
Pleural Other,0.014231341890990734,0.9813834188317061,0.3275488069414317,0.2926356589147287,0.3091095189355169,0.903512316303014,0.25229292474715453,0.016056286171078682,0.026366780063043816,0.43190109729766846,0.06819316506665514
Fracture,0.03808814659714699,0.9628495780241602,0.6976744186046512,0.04344677769732078,0.081799591002045,0.7919908127739779,0.21811832570357859,0.03315916284918785,0.005551504110077518,0.2906095087528229,0.13658110425262923
