Disease,Prevalence,Accuracy,Precision,Recall,F1 Score,AUROC,AUPRC,Brier Score,ECE,MCE,Log Loss
No Finding,0.16785430908203125,0.8321456848772764,0.0,0.0,0.0,0.8512272229502899,0.5002161345519782,0.13972532749176025,0.12913434145380748,0.3843892812728882,0.47733297176179895
Enlarged Cardiomediastinum,0.03752969205379486,0.9624703087885986,0.0,0.0,0.0,0.667256745292908,0.08668608871917981,0.035652533173561096,0.014473352023796345,0.04040287435054779,0.16111365222488716
Cardiomegaly,0.1399841606616974,0.8785431512272367,0.6338672768878718,0.31334841628959276,0.41937925813777444,0.8558843108649774,0.5294893870205809,0.09386327862739563,0.05389974542369186,0.13449490070343018,0.3343218299350826
Lung Opacity,0.3285827338695526,0.6954869358669834,0.6551020408163265,0.15469879518072288,0.25029239766081873,0.7228719027051603,0.5430947135724191,0.21177178621292114,0.13888112596595278,0.19475698471069336,0.6820661057982298
Lung Lesion,0.0692003145813942,0.9311163895486936,0.5714285714285714,0.018306636155606407,0.03547671840354767,0.705957442832639,0.18657331499241192,0.06162157654762268,0.028616021367664484,0.6450865268707275,0.24651165166493705
Edema,0.08566904067993164,0.9143309580364212,0.5,0.36968576709796674,0.4250797024442083,0.8708577618964995,0.4524090283690528,0.06327658146619797,0.03165528291625488,0.2714823782444,0.22308376504848684
Consolidation,0.04433887451887131,0.953285827395091,0.391304347826087,0.09642857142857143,0.15472779369627507,0.8174316487158244,0.20653241240592538,0.04113676771521568,0.02100720991242621,0.2724589407444,0.15830340546958294
Pneumonia,0.036104511469602585,0.963895486935867,0.5,0.14035087719298245,0.2191780821917808,0.8190088742473894,0.26364286017043315,0.03127594664692879,0.010166975674429587,0.3713536858558655,0.12906418656317728
Atelectasis,0.10815518349409103,0.8711005542359461,0.2946708463949843,0.1376281112737921,0.18762475049900199,0.7270403176161321,0.22730572993942713,0.09947547316551208,0.05718665540407125,0.34204113483428955,0.3350560193384045
Pneumothorax,0.044813934713602066,0.956769596199525,0.5520833333333334,0.1872791519434629,0.2796833773087071,0.8800092088367341,0.35726604626417136,0.034872181713581085,0.0075128005559446315,0.22897440195083618,0.13296028517201794
Pleural Effusion,0.293111652135849,0.8663499604117181,0.8071995118974985,0.7147487844408428,0.7581661891117478,0.9169089555389027,0.8384840639543948,0.09945551306009293,0.0349051907245639,0.08014136552810669,0.3381732298826051
Pleural Other,0.035629455000162125,0.9627870150435471,0.4358974358974359,0.1511111111111111,0.22442244224422442,0.7884039408866995,0.2405443915259997,0.03240899369120598,0.012361943112982707,0.43130290508270264,0.13495730601144135
Fracture,0.045288994908332825,0.9547110055423594,0.0,0.0,0.0,0.6660296909923714,0.09969902792529421,0.04278631508350372,0.00872122407171902,0.34723222255706787,0.17932716371190538
