Disease,Prevalence,Accuracy,Precision,Recall,F1 Score,AUROC,AUPRC,Brier Score,ECE,MCE,Log Loss
No Finding,0.08759446442127228,0.9124055380881461,0.0,0.0,0.0,0.8627363021844658,0.41970117103481563,0.07555956393480301,0.055477146931057125,0.4964570999145508,0.2644204185456809
Enlarged Cardiomediastinum,0.03502675145864487,0.9649180870428595,0.475,0.014960629921259842,0.02900763358778626,0.7059748381672366,0.11791063491921429,0.032817643135786057,0.009070043960615268,0.49383240938186646,0.14239199401129748
Cardiomegaly,0.13613547384738922,0.8785923106624745,0.6826265389876881,0.20218800648298219,0.3119724914035636,0.8528338067277758,0.510289810941133,0.08919833600521088,0.029358252438692597,0.15926843881607056,0.2951543982943258
Lung Opacity,0.48055601119995117,0.6216283302995201,0.6931498279637159,0.38154269972451793,0.49217101610216546,0.7249892443896035,0.668505317966017,0.24124778807163239,0.16730573589677905,0.2653595507144928,0.7156215049793944
Lung Lesion,0.036295440047979355,0.9638700424733851,0.5555555555555556,0.022796352583586626,0.043795620437956206,0.6889779920142088,0.13695688319781582,0.03372330963611603,0.009559519070449928,0.3182525038719177,0.14688594699431376
Edema,0.25613656640052795,0.7828341331568206,0.6267264573991032,0.37622483040809734,0.4701924370878751,0.8075907970769222,0.578534948475472,0.14972808957099915,0.04892263481018133,0.09380578994750977,0.4686083372543333
Consolidation,0.0643720030784607,0.9359313806608197,0.6037735849056604,0.013710368466152529,0.026811897779639715,0.7351769321151054,0.1739923442095674,0.059178825467824936,0.02978531888669322,0.2719707489013672,0.22483546132697693
Pneumonia,0.020574769005179405,0.9784599260852778,0.3841059602649007,0.0777479892761394,0.12931995540691194,0.82540044614304,0.15651689840853528,0.020495988428592682,0.025453112596058564,0.4570058584213257,0.09316095418478434
Atelectasis,0.1638534963130951,0.8360361851177671,0.375,0.00100993098804915,0.0020144367970454926,0.639758720867788,0.24620235389826278,0.1341412216424942,0.03475159248682883,0.14477777481079102,0.44179160941410384
Pneumothorax,0.08174747973680496,0.9197418500744663,0.5203313253012049,0.23313090418353577,0.32199440820130476,0.8285375680550014,0.3756671626730578,0.06356201320886612,0.026331016185705616,0.13248997926712036,0.22760101641984382
Pleural Effusion,0.41116443276405334,0.7918252523581003,0.7675196277987787,0.7082103568553797,0.7366731789003629,0.869715408290285,0.8126537391433892,0.14702479541301727,0.0460319821936256,0.10074926912784576,0.46661203125090855
Pleural Other,0.014231341890990734,0.9844723922996305,0.38071065989847713,0.14534883720930233,0.21037868162692847,0.8467027803478765,0.1614905873685154,0.014736481942236423,0.020891461113365168,0.41878047585487366,0.0690178473947318
Fracture,0.03808814659714699,0.9622703954989243,0.6181818181818182,0.024619840695148443,0.04735376044568245,0.7002931601751698,0.14471195953112176,0.03549240902066231,0.015680088988336855,0.09795868396759033,0.1528677431569502
